new_name,old_name
runner_id,runner_id
x8name,x8name_pp
trainer,trainer_pp
jockey,jockey_pp
owner,runner_owner_pp
x8_track_sym,x8_track_sym_pp
itsp_track_sym,itsp_track_sym_pp
race_id,race_id
post_time,race_time_pp
post_position,post_position_jcp
program_number,runner_program_number_pp
coupled_type,coupled_type_jcp
coupled_race,coupled_race_pp
race_num,race_race_num_pp
date,date_pp
race_race_type,race_race_type_pp
race_surface,race_surface_pp
race_distance,race_distance_pp
race_age_sex_restriction,race_age_sex_restriction_pp
track_condition,track_condition_code_jcp
race_conditions,race_conditions_pp
race_claiming_price,race_claiming_price_race_pp
morning_line_odds,runner_morning_line_odds_pp
prob_morning_line,prob_morning_line_pp
prob_morning_line_post,prob_morning_line_odds_jcp
entropy_prob_morning_line_pre,entropy_morning_line_pp
entropy_prob_morning_line_post,entropy_morning_line_odds_jcp
rank_prob_morning_line_pre,rank_morning_line_pp
rank_prob_morning_line_post,rank_prob_morning_line_odds_jcp

final_tote_odds,final_tote_odds_jcp
prob_final_tote_odds,prob_final_tote_odds_jcp
prob_market,prob_final_tote_odds_jcp
entropy_prob_final_tote_odds,entropy_final_tote_odds_jcp
rank_prob_final_tote_odds,rank_prob_final_tote_odds_jcp

runner_HDWPSRRating,runner_HDWPSRRating_pp
x8runner_HDWPSRRating_norm_par,x8runner_HDWPSRRating_norm_par
prob_runner_HDWPSRRating,prob_runner_HDWPSRRating
entropy_prob_runner_HDWPSRRating,entropy_prob_runner_HDWPSRRating
rank_prob_runner_HDWPSRRating,rank_prob_runner_HDWPSRRating

num_starters,x8_num_starters_pp
num_starters_live,num_starters_post_jcp

payout_win,payout_win_jcp
payout_place,payout_place_jcp
payout_show,payout_show_jcp
official_finish_position,official_finish_position_jcp

ppk_score,ppk_score
rank_hdw_sppk,rank_hdw_sppk
rank_ml_sppk,rank_ml_sppk
is_any_null_hdw,is_any_null_hdw
isnull_hdw_any,isnull_hdw_any
isnull_hdw_all,isnull_hdw_all
