new_name,old_name
runner_id,runner_id
x8name,x8name_pp
trainer,trainer_pp
jockey,jockey_pp
owner,runner_owner_pp
x8_track_sym,x8_track_sym_pp
race_id,race_id
post_time,post_time_entries
coupled_race,coupled_race_pp
program_number,betting_interest_entries
post_position,post_position_jcp
itsp_track_sym,itsp_track_sym_entries
bet_amount,bet_amount
race_num,race_race_num_pp
date,date_pp
race_race_type,race_race_type_pp
race_surface,race_surface_pp
race_distance,race_distance_pp
race_age_sex_restriction,race_age_sex_restriction_pp
track_condition,track_condition_code_jcp
race_claiming_price,race_claiming_price_race_pp
x8race_class,x8race_class
bet_type,bet_type
runners,runners
prob_morning_line,prob_morning_line_pp
runner_HDWPSRRating,runner_HDWPSRRating_pp
runner_morning_line_odds,runner_morning_line_odds_pp
prob_market,prob_market_odds_win
prob_market_final,prob_market_odds_win_final
prob_final_tote_odds,prob_final_tote_odds_jcp
x8runner_HDWPSRRating_norm_par,x8runner_HDWPSRRating_norm_par
num_starters,x8_num_starters_pp
num_starters_live,num_starters_post_jcp
scratch,ww_scratched
official_finish_position,official_finish_position_jcp
x8speed_HDW_2of3_mean,x8speed_HDW_2of3_mean
median_speed_HDW,median_speed_HDW
x8count_wins_G1,x8count_wins_G1_pp
ppk_score,ppk_score
isnull_hdw_any,isnull_hdw_any
is_first_time,is_first_time_pp
isnull_hdw_all,isnull_hdw_all
