new_name,old_name
date,date_pp
race_distance,race_distance_pp
entry,runner_entry_pp
program_number,runner_program_number_pp
post_position,runner_program_post_position_pp
purse,race_purse_pp
race_id,race_id
post_time,race_time_utc_pp
race_num,race_race_num_pp
race_race_type,race_race_type_pp
race_surface,race_surface_pp
race_age_sex_restriction,race_age_sex_restriction_pp
race_claiming_price,race_claiming_price_race_pp
x8race_class,x8race_class
runner_id,runner_id
x8name,x8name_pp
trainer,trainer_pp
jockey,jockey_pp
owner,runner_owner_pp
name,name_pp
num_starters,x8_num_starters_pp
num_starters_live,x8_num_starters_pp
is_first_time,is_first_time_pp
race_classification,race_race_classification_pp
finish_last_out,pp_call_finish_pos_0_pp
last_work_description,wk_descr_1_pp
days_since_last_work,days_since_last_work_pp
race_time,race_time_toronto_pp
x8_track_sym,x8_track_sym_pp
itsp_track_sym,itsp_track_sym_pp
x8runner_is_speed_HDW_par_class_level,x8_is_HDWPSRRating_norm_par
x8runner_max_speed_DRF,x8max_speed_DRF_pp
x8runner_max_speed_HDW,x8max_speed_HDW_pp
x8runner_ratio_earnings_0_claim,x8_ratio_earnings_0_claim
runner_HDWPSRRating,runner_HDWPSRRating_pp
x8speed_HDW_2of3_mean,x8speed_HDW_2of3_mean
x8_speed_HDW_best_mean_2of3_lag_1,x8_speed_HDW_best_mean_2of3_lag_1
x8_speed_HDW_best_mean_2of3_lag_2,x8_speed_HDW_best_mean_2of3_lag_2
x8speed_DRF_2of3_mean,x8speed_DRF_2of3_mean
bet_amount,bet_amount
bet_type,bet_type
runners,runners
factor_gts,factor_gts_gts
prob_morning_line,prob_morning_line_pp
entropy_morning_line,entropy_morning_line_pp
rank_morning_line,rank_morning_line_pp
age_days_act,age_days_act_pp
age_days_year,age_days_year_pp
age_diff_days,age_diff_days_pp
x8runner_HDWPSRRating_norm_par,x8runner_HDWPSRRating_norm_par
pp_speed_DRF_0,pp_speed_DRF_0_pp
pp_speed_DRF_1,pp_speed_DRF_1_pp
pp_speed_DRF_2,pp_speed_DRF_2_pp
pp_speed_DRF_3,pp_speed_DRF_3_pp
pp_speed_DRF_4,pp_speed_DRF_4_pp
pp_speed_DRF_5,pp_speed_DRF_5_pp
pp_speed_DRF_6,pp_speed_DRF_6_pp
pp_speed_DRF_7,pp_speed_DRF_7_pp
pp_speed_DRF_8,pp_speed_DRF_8_pp
pp_speed_DRF_9,pp_speed_DRF_9_pp
median_speed_HDW,median_speed_HDW
x8count_wins_G1,x8count_wins_G1_pp
x8speed_sum_par,x8speed_sum_par
x8t001_HDWSpeedRating,x8t001_HDWSpeedRating
runner_pedigree_HDWDirt,runner_pedigree_HDWDirt_pp
runner_pedigree_HDWMud,runner_pedigree_HDWMud_pp
runner_pedigree_HDWTurf,runner_pedigree_HDWTurf_pp
runner_pedigree_HDWDist,runner_pedigree_HDWDist_pp
runner_jockey_wins_meet,runner_jockey_wins_meet_pp
x8speed_DRF_2of3_rank,x8speed_DRF_2of3_rank
x8speed_HDW_2of3_rank,x8speed_HDW_2of3_rank
runner_trainer_wins_meet,runner_trainer_wins_meet_pp
rank_trainer_wins_meet,rank_trainer_wins_pp
runner_jockey_wins_meet,runner_jockey_wins_meet_pp
rank_jockey_wins_meet,rank_jockey_wins_pp
pp_x8_prob_odds_0,pp_x8_prob_odds_0_pp
pp_x8_prob_odds_1,pp_x8_prob_odds_1_pp
pp_x8_prob_odds_2,pp_x8_prob_odds_2_pp
pp_x8_prob_odds_3,pp_x8_prob_odds_3_pp
pp_x8_prob_odds_4,pp_x8_prob_odds_4_pp
pp_x8_prob_odds_5,pp_x8_prob_odds_5_pp
pp_x8_prob_odds_6,pp_x8_prob_odds_6_pp
pp_x8_prob_odds_7,pp_x8_prob_odds_7_pp
pp_x8_prob_odds_8,pp_x8_prob_odds_8_pp
pp_x8_prob_odds_9,pp_x8_prob_odds_9_pp
ppk_score,ppk_score
rank_hdw_sppk,rank_hdw_sppk
rank_ml_sppk,rank_ml_sppk
is_any_null_hdw,is_any_null_hdw
isnull_hdw_any,isnull_hdw_any
isnull_hdw_all,isnull_hdw_all
