itsp_track_sym,x8_track_sym,jcp_track_sym,jcp_track_name,gts_track_name,chart_file_sym,confirm_waw_sym,meet_sym,WN,PL,SH,EX,QU,TR,SU,SH5,DB,P3,P4,P5,P6,min_WN,min_PL,min_SH,min_EX,min_QN,min_TR,min_SU,min_SH5,min_DD,min_P3,min_P4,min_P5,min_P6,min_P7
PVD,AJX,AJX,AJAX DOWNS,Ajax Downs,AJX,PVD,PVD,0.17250000000000001,0.17250000000000001,0.17250000000000001,0.17250000000000001,0.0,0.1925,0.17250000000000001,0.17250000000000001,0.17250000000000001,0.17250000000000001,0.17250000000000001,0.0,0.0,[2.0],[2.0],[2.0],"[1.0, 2.0]",,"[1.0, 2.0]",[1.0],,[2.0],"[1.0, 2.0]","[1.0, 2.0]",,,
ADM,ALB,ALB,ALBUQUERQUE,Albuquerque,ALB,ADM,ADM,0.1165,0.1165,0.1165,0.1765,0.1765,0.1765,0.1765,0.1765,0.1765,0.1765,0.1765,0.0,0.0,[1.0],[1.0],[1.0],[1.0],,[0.5],"[0.1, 1.0]",,[1.0],,[0.5],,,
,ANF,ANF,ANTHONY DOWNS,,ANF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APM,APX,APX,ARLINGTON,Arlington Park,AP,,No Code,0.0265,0.0265,0.0265,0.061500000000000006,0.0,0.10650000000000001,0.10650000000000001,0.10650000000000001,0.061500000000000006,0.10650000000000001,0.10650000000000001,0.006500000000000001,0.006500000000000001,[2.0],[2.0],[2.0],[1.0],,[0.5],[0.1],[0.2],[1.0],[0.5],[0.5],[0.5],[0.2],
AQD,AQU,AQU,AQUEDUCT,Aqueduct,AQU,,No Code,0.0415,0.0415,0.0415,0.0415,0.0415,0.0965,0.0965,0.0965,0.0415,0.0965,0.0965,0.006500000000000001,0.006500000000000001,[1.0],[1.0],[1.0],[1.0],[1.0],[0.5],[0.1],,[1.0],[1.0],[0.5],[0.5],[2.0],
ARD,ARP,ARP,ARAPAHOE PARK,,ARP,ARD,ARD,0.115,0.115,0.115,0.165,0.165,0.175,0.175,0.0,0.165,0.165,0.0,0.0,0.0,,,,,,,,,,,,,,
ASD,ASD,ASD,ASSINIBOIA DOWNS,Assiniboia,ASD,ASD,ASD,0.1165,0.1165,0.1165,0.1865,0.1865,0.2165,0.2165,0.2165,0.1865,0.2165,0.0765,0.2165,0.0,[2.0],[2.0],[2.0],"[1.0, 2.0]",[2.0],[0.2],[0.2],[0.2],"[1.0, 2.0]",[0.2],[1.0],,,
,ATL,ATL,ATLANTIC CITY,,ATL,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ATO,ATO,HORSEMENS ATOKAD DOWNS,,ATO,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED,BEL,BEL,BELMONT PARK,Belmont Park,BEL,,No Code,0.0415,0.0415,0.0415,0.0415,0.0415,0.0965,0.0965,0.0965,0.0415,0.0965,0.0965,0.006500000000000001,0.006500000000000001,[1.0],[1.0],[1.0],[1.0],[1.0],[0.5],[0.1],,[1.0],[1.0],[0.5],[0.5],[2.0],
