name,dtype
'race_id',str
'x8name',str
'jcp_track_sym',str
'date',datetime
'race_race_num',int
'program_post_pos',int
'runner_entry',str
'race_distance',int
'race_surface',category
'race_time',datetime
'race_race_type',category
'race_age_sex_restriction',category
'race_race_classification',str
'race_purse',int
'race_claiming_price_race',int
'horse_claiming_price',int
'race_track_record',float
'race_race_conditions',str
'race_lasix_list',str
'race_bute_list',str
'race_coupled_list',str
'race_mutuel_list',str
'race_simulcast_host_track_code',str
'race_simulcast_host_track_racenum',str
'race_breed_type',str
'runner_nasal_strip_change',str
'race_all_weather_flag',category
'trainer',str
'runner_trainer_starts_meet',int
'runner_trainer_wins_meet',int
'runner_trainer_places_meet',int
'runner_trainer_shows_meet',int
'jockey',str
'apprentice_weight_alw',int
'runner_jockey_starts_meet',int
'runner_jockey_wins_meet',int
'runner_jockey_places_meet',int
'runner_jockey_shows_meet',int
'runner_owner',str
'main_track_or_ae',category
'runner_program_number',str
'runner_morning_line_odds',float
'name',str
'runner_birthdate_year',datetime
'runner_birthdate_act',datetime
'runner_speed_HDW_bestCramerDirt',float
'runner_sex',category
'runner_color',category
'runner_weight',float
'runner_state_country_bred',category
'runner_program_post_position',int
'runner_rider_ROI_track',float
'runner_trainer_ROI_track',float
'gelded_since_last_start',int
'runner_medication_1',int
'runner_medication_2',int
'runner_equipment_change',int
'runner_horse_lifetime_starts_distance',int
'runner_horse_lifetime_wins_distance',int
'runner_horse_lifetime_place_distance',int
'runner_horse_lifetime_show_distance',int
'runner_horse_lifetime_earnings_distance',int
'runner_horse_lifetime_starts_track',int
'runner_horse_lifetime_wins_track',int
'runner_horse_lifetime_place_track',int
'runner_horse_lifetime_show_track',int
'runner_horse_lifetime_earnings_track',int
'runner_horse_lifetime_starts_turf',int
'runner_horse_lifetime_wins_turf',int
'runner_horse_lifetime_place_turf',int
'runner_horse_lifetime_show_turf',int
'runner_horse_lifetime_earnings_turf',int
'runner_horse_lifetime_starts_wet',int
'runner_horse_lifetime_wins_wet',int
'runner_horse_lifetime_place_wet',int
'runner_horse_lifetime_show_wet',int
'runner_horse_lifetime_earnings_wet',int
'runner_horse_currentYear',int
'runner_horse_currentYear_starts',int
'runner_horse_currentYear_wins',int
'runner_horse_currentYear_place',int
'runner_horse_currentYear_show',int
'runner_horse_currentYear_earnings',int
'runner_horse_prevYear',int
'runner_horse_prevYear_starts',int
'runner_horse_prevYear_wins',int
'runner_horse_prevYear_place',int
'runner_horse_prevYear_show',int
'runner_horse_prevYear_earnings',int
'runner_horse_lifetime_starts',int
'runner_horse_lifetime_wins',int
'runner_horse_lifetime_place',int
'runner_horse_lifetime_show',int
'runner_horse_lifetime_earnings',int
'runner_speed_speedPoints',
'race_pace_HDW_par_2f_level',
'race_pace_HDW_par_4f_level',
'race_pace_HDW_par_6f_level',
'race_speed_HDW_par_class_level',
'race_pace_HDW_par_late_level',
'days_since_last_race',
'race_race_conditions_1',
'race_claiming_price_low',
'race_statebred_flag',
'runner_HDWPSRRating',
'runner_pedigree_HDWDirt',
'runner_pedigree_HDWMud',
'runner_pedigree_HDWTurf',
'runner_pedigree_HDWDist',
'runner_speed_best_HDWBestLifetime',
'runner_speed_best_HDWMostRecentYear',
'runner_speed_best_HDWSecondYear',
'runner_speed_best_HDWTrack',
'runner_numstarts_fastDirt',
'runner_numwins_fastDirt',
'runner_numplace_fastDirt',
'runner_numshow_fastDirt',
'runner_earnings_fastDirt',
'x8_track_sym',
'itsp_track_sym',
'race_time_flag',
'race_time_utc',
'race_time_toronto',
'date_str',
'runner_birthdate_act_flag',
'runner_birth_year',
'runner_birth_month',
'runner_birth_day',
'month',
'weekday',
'year',
'weeknum',
'x8country',
'prob_morning_line',
'entropy_morning_line',
'rank_morning_line',
'rank_jockey_wins',
'rank_trainer_wins',
'x8count_wins',
'x8count_wins_G1',
'x8count_wins_G2',
'x8count_places_G1',
'x8count_places_G2',
'x8count_shows_G1',
'x8count_shows_G2',
'x8count_close_wins_G2',
'x8count_lp_fig_100',
'x8max_speed_HDW',
'x8max_speed_DRF',
'x8min_speed_HDW',
'x8min_speed_DRF',
'is_foreign',
'x8btn_horses_0',
'x8lost_horses_0',
'x8btn_horses_1',
'x8lost_horses_1',
'x8btn_horses_2',
'x8lost_horses_2',
'x8is_runner_full_speed_DRF',
'x8is_race_full_speed_DRF',
'x8_num_starters',
'age_days_act',
'rank_age_days_act',
'age_days_year',
'age_diff_days',
'days_since_first_race',
'days_since_first_work',
'days_since_last_work',
'is_first_time',
'chart_file_sym',
'race_number',
'breed_code',
'distance',
'is_about_distance',
'surface_code',
'is_off_turf',
'course_type_code',
'race_type_code',
'race_conditions',
'race_name',
'sex_restriction_code',
'age_restriction_code',
'is_restricted_to_statebred',
'purse',
'max_claiming_price',
'min_claiming_price',
'grade_code',
'division',
'num_starters_post',
'track_condition_code',
'weather_code',
'post_time',
'temp_rail_dist',
'is_chute_start',
'is_track_sealed',
'race_f1_time',
'race_f2_time',
'race_f3_time',
'race_f4_time',
'race_f5_time',
'race_winning_time',
'wps_combined_pool',
'run_up_dist',
'horse_name',
'age',
'sex_code',
'medication_code',
'equipment_code',
'weight',
'claiming_price',
'earnings',
'program_number',
'coupled_type',
'morning_line',
'final_tote_odds',
'is_favorite',
'is_non_betting',
'payout_win',
'payout_place',
'payout_show',
'post_position',
'pos_call_start',
'pos_call_1',
'pos_call_2',
'pos_call_3',
'pos_call_4',
'pos_call_stretch',
'pos_call_finish',
'official_finish_position',
'call_1_lengths_behind',
'call_2_lengths_behind',
'call_3_lengths_behind',
'call_4_lengths_behind',
'stretch_call_lengths_behind',
'finish_lengths_behind',
'comment_line',
'apprentice_weight_allowance',
'is_claimed',
'claiming_trainer_first_name',
'claiming_trainer_middle_name',
'claiming_trainer_last_name',
'claiming_owner_full_name',
'is_scratch',
'scratch_code',
'last_race_track',
'last_race_date',
'last_race_num',
'last_race_finish',
'long_comment',
'map_equipment_code',
'map_grade_code',
'map_race_type_code',
'map_age_restriction_code',
'map_sex_code',
'map_sex_restriction_code',
'map_track_condition_code',
'map_scratch_code',
'map_breed_code',
'map_weather_code',
'map_surface_code',
'map_medication_code',
'map_course_type_code',
'num_starters_pre',
'prob_final_tote_odds',
'entropy_final_tote_odds',
'prob_morning_line_odds',
'entropy_morning_line_odds',
'num_effective_starters_morning_line',
'num_effective_starters_final_tote_odds',
'diff_logprob_final_tote_morning_line',
'rank_prob_final_tote_odds',
'rank_diff_logprob_final_tote_morning_line',
'is_route',
'cost_exacta_from_win_show',
'cost_trifecta_from_place_wc',
'cost_superfecta_from_show_a1',
'cost_synth_place_tri',
'log_ratio_effectivestarters_morningline',
'max_prob_morning_line_odds',
'max_prob_final_tote_odds',
'underperformance_weighted',
'diff_num_starters_pre_post',
'is_ofp_0',
'is_ofp_1',
'is_ofp_2',
'is_ofp_3',
'is_otm',
'is_outperform',
'is_underperform',
'dayofyear',
'weekofyear',
'time_diff',
