field_index,field_name,target_type,notes
1,jcp_track_sym,str,
2,date,datetime.date,
3,race_race_num,str,
4,program_post_pos,int,
5,runner_entry,str,
6,race_distance,int,
7,race_surface,type_surface,
8,race_time,datetime.time,
9,race_race_type,type_race_type,
10,race_age_sex_restriction,type_age_sex_restriction,
11,race_race_classification,str,check if exists
12,race_purse,int,
13,race_claiming_price_race,int,
14,horse_claiming_price,int,
15,race_track_record,datetime.time_interval,
16,race_race_conditions,str,
17,race_lasix_list,str,
18,race_bute_list,str,
19,race_coupled_list,str,
20,race_mutuel_list,str,
21,race_simulcast_host_track_code,str,unused
22,race_simulcast_host_track_racenum,str,unused
23,race_breed_type,str,
24,runner_nasal_strip_change,str,
25,race_all_weather_flag,bool,True == all_weather
26,race_reserved_2,str,
27,race_reserved_3,str,
28,trainer,str,check if exists
29,runner_trainer_starts_meet,int,
30,runner_trainer_wins_meet,int,
31,runner_trainer_places_meet,int,
32,runner_trainer_shows_meet,int,
33,jockey,str,check if exists
34,apprentice_weight_alw,int,has nan in possible vals
35,runner_jockey_starts_meet,int,
36,runner_jockey_wins_meet,int,
37,runner_jockey_places_meet,int,
38,runner_jockey_shows_meet,int,
39,runner_owner,str,check if exists
40,runner_owner_silks,str,
41,main_track_or_ae,type_main_indicator,flag
42,race_conditions,str,
43,runner_program_number,str,
44,runner_morning_line_odds,float,
45,name,str,check if exists
46,runner_birthdate_year,datetime.date.year,
47,runner_birthdate_act,datetime.date.month,
48,runner_speed_HDW_bestCramerDirt,float,
49,runner_sex,type_sex,
50,runner_color,type_color,
51,runner_weight,float,
52,runner_sire,str,check if exists
53,runner_sire_sire,str,check if exists
54,runner_dam,str,check if exists
55,runner_dam_sire,str,check if exists
56,runner_breeder,str,check if exists
57,runner_state_country_bred,str,check if exists
58,runner_program_post_position,int,
59,runner_rider_ROI_track,float,
60,runner_trainer_ROI_track,float,
61,gelded_since_last_start,bool,
62,runner_medication_1,*type_medication,
63,runner_medication_2,*type_medication,
64,runner_equipment_change,*equipment_change,
65,runner_horse_lifetime_starts_distance,float,
66,runner_horse_lifetime_wins_distance,float,
67,runner_horse_lifetime_place_distance,float,
68,runner_horse_lifetime_show_distance,float,
69,runner_horse_lifetime_earnings_distance,float,
70,runner_horse_lifetime_starts_track,float,
71,runner_horse_lifetime_wins_track,float,
72,runner_horse_lifetime_place_track,float,
73,runner_horse_lifetime_show_track,float,
74,runner_horse_lifetime_earnings_track,float,
75,runner_horse_lifetime_starts_turf,float,
76,runner_horse_lifetime_wins_turf,float,
77,runner_horse_lifetime_place_turf,float,
78,runner_horse_lifetime_show_turf,float,
79,runner_horse_lifetime_earnings_turf,float,
80,runner_horse_lifetime_starts_wet,float,
81,runner_horse_lifetime_wins_wet,float,
82,runner_horse_lifetime_place_wet,float,
83,runner_horse_lifetime_show_wet,float,
84,runner_horse_lifetime_earnings_wet,float,
85,runner_horse_currentYear,datetime.date.year,
86,runner_horse_currentYear_starts,float,
87,runner_horse_currentYear_wins,float,
88,runner_horse_currentYear_place,float,
89,runner_horse_currentYear_show,float,
90,runner_horse_currentYear_earnings,float,
91,runner_horse_prevYear,datetime.date.year,
92,runner_horse_prevYear_starts,float,
93,runner_horse_prevYear_wins,float,
94,runner_horse_prevYear_place,float,
95,runner_horse_prevYear_show,float,
96,runner_horse_prevYear_earnings,float,
97,runner_horse_lifetime_starts,float,
98,runner_horse_lifetime_wins,float,
99,runner_horse_lifetime_place,float,
100,runner_horse_lifetime_show,float,
101,runner_horse_lifetime_earnings,float,
102,wk_date_1,datetime.date,
103,wk_date_2,datetime.date,
104,wk_date_3,datetime.date,
105,wk_date_4,datetime.date,
106,wk_date_5,datetime.date,
107,wk_date_6,datetime.date,
108,wk_date_7,datetime.date,
109,wk_date_8,datetime.date,
110,wk_date_9,datetime.date,
111,wk_date_10,datetime.date,
112,wk_date_11,datetime.date,
113,wk_date_12,datetime.date,
114,wk_time_1,datetime.time_interval,
115,wk_time_2,datetime.time_interval,
116,wk_time_3,datetime.time_interval,
117,wk_time_4,datetime.time_interval,
118,wk_time_5,datetime.time_interval,
119,wk_time_6,datetime.time_interval,
120,wk_time_7,datetime.time_interval,
121,wk_time_8,datetime.time_interval,
122,wk_time_9,datetime.time_interval,
123,wk_time_10,datetime.time_interval,
124,wk_time_11,datetime.time_interval,
125,wk_time_12,datetime.time_interval,
126,wk_track_1,x8_track_sym,
127,wk_track_2,x8_track_sym,
128,wk_track_3,x8_track_sym,
129,wk_track_4,x8_track_sym,
130,wk_track_5,x8_track_sym,
